url,image_url,brand,product,add_info,price_value,price_currency,discount_value,discount_code,country,retailer,scraped_at
https://www.notino.co.uk/bebio/ewa-chodakowska-sensitive-papaya-natural-paste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//bebio/5908233661348_01-o__220824.jpg,beBIO,Ewa Chodakowska Sensitive Papaya & Mint,natural paste for sensitive teeth 100 ml,3.4,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/mediblanc/healthy-gums-gum-protection-toothpaste/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg,MEDIBLANC,Healthy Gums,gum protection toothpaste,11.7,£,-20 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/sensodyne/pro-namel-toothpaste-junior/,https://cdn.notinoimg.com/list_2k//sensodyne/8590335006812_01-o__140401.jpg,Sensodyne,Pronamel Junior,toothpaste junior 50 ml,3.1,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/benanna/natural-toothpaste-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//benanna/4260491220516_01-o__221101.jpg,BEN&ANNA,Natural Toothpaste White,toothpaste in a glass container with whitening effect 100 ml,6.1,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curasept/daycare-protection-booster-frozen-mint-gel-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746073282_01-o__230511.jpg,Curasept,Daycare Protection Booster Frozen Mint,gel toothpaste 75 ml,6.2,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/biorepair/desensibility-and-enamel-repair-treatment-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//biorepair/brpderw_kset10__150318.jpg,Biorepair,Desensitizing Enamel-Repair Shock Treatment,set (for teeth),8.1,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/chicco/toothpaste-1-5-years-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//chicco/8003670743651_01-o__231113.jpg,Chicco,Toothpaste 1-5 years,toothpaste for children Strawberry 50 ml,4.2,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/brush-baby/applemint-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//brush_baby/5060178100587_01-o__230613.jpg,Brush Baby,Applemint,toothpaste for children 0–36 months 50 ml,3.2,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/propolis-healthy-gums-sensitive-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/6920354836039_01-o__230510.jpg,Colgate,Propolis Healthy Gums,sensitive toothpaste,1.4,£,-20 % ,beeweek,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/marvis/whitening-mint-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//marvis/8004395111312_01-o__211122.jpg,Marvis,Whitening Mint,toothpaste with whitening effect flavour Mint 25 ml,3.7,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curaprox/kids-2-strawberry-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429473_01-o__220225.jpg,Curaprox,Kids 2+,toothpaste for children,5.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/anti-caries-professional-anti-decay-toothpaste/,https://cdn.notinoimg.com/list_2k//elmex/8718951279551_01-o__220203.jpg,Elmex,Anti-Caries Professional,anti-decay toothpaste,6.5,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/curaprox/kids-6-watermelon-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg,Curaprox,Kids 6+,toothpaste for children,5.4,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/elmex/sensitive-professional-repair-prevent-sensitive-toothpaste-525836/,https://cdn.notinoimg.com/list_2k//elmex/8718951193765_01-o__190409.jpg,Elmex,Sensitive Professional Repair & Prevent,sensitive toothpaste,6.3,£,,,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/blend-a-med/3d-white-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//blend-a-med/ble3dww_ktps05_01__170130.jpg,Blend-a-med,3D White,toothpaste with whitening effect 75 ml,1.5,£,-20 % ,mix20,uk,notino,2024-05-22 11:37:35.087116
https://www.notino.co.uk/colgate/advanced-white-charcoal-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/8718951253827_01-o__240229.jpg,Colgate,Advanced White,whitening toothpaste with activated charcoal,2.3,£,-15 % ,sale,uk,notino,2024-05-22 11:37:35.087116
